[5, 15, 8, 9, 3, 4, 10, 12, 11, 16, 7, 14, 6, 1, 13, 2]
[2, 16, 1, 13, 14, 6, 5, 11, 9, 4, 15, 10, 12, 8, 7, 3]
[7, 11, 12, 14, 1, 15, 16, 2, 3, 6, 13, 8, 10, 5, 4, 9]
[6, 10, 3, 4, 8, 7, 13, 9, 5, 2, 12, 1, 16, 14, 11, 15]
[11, 9, 2, 7, 13, 14, 12, 6, 15, 8, 10, 5, 4, 3, 16, 1]
[13, 3, 15, 12, 16, 8, 11, 10, 4, 14, 1, 9, 5, 7, 2, 6]
[10, 14, 5, 16, 2, 3, 4, 1, 12, 7, 11, 6, 13, 15, 9, 8]
[4, 8, 6, 1, 5, 9, 15, 7, 16, 13, 3, 2, 14, 11, 12, 10]
[8, 4, 9, 15, 12, 16, 6, 5, 10, 11, 14, 7, 1, 2, 3, 13]
[14, 7, 10, 11, 15, 1, 2, 3, 13, 12, 9, 16, 8, 6, 5, 4]
[3, 12, 13, 5, 4, 11, 8, 14, 6, 1, 2, 15, 7, 9, 10, 16]
[1, 2, 16, 6, 9, 10, 7, 13, 8, 3, 5, 4, 15, 12, 14, 11]
[16, 5, 4, 3, 7, 2, 1, 15, 14, 9, 8, 13, 11, 10, 6, 12]
[9, 6, 7, 8, 11, 5, 3, 4, 1, 10, 16, 12, 2, 13, 15, 14]
[15, 13, 14, 10, 6, 12, 9, 8, 2, 5, 4, 11, 3, 16, 1, 7]
[12, 1, 11, 2, 10, 13, 14, 16, 7, 15, 6, 3, 9, 4, 8, 5]
